date,home_team,away_team,home_goals,away_goals,result
2014/6/12,巴西,克罗地亚,3,1,H
2014/6/13,墨西哥,喀麦隆,1,0,H
2014/6/13,西班牙,荷兰,1,5,A
2014/6/13,智利,澳大利亚,3,1,H
2014/6/14,哥伦比亚,希腊,3,0,H
2014/6/14,科特迪瓦,日本,2,1,H
2014/6/14,乌拉圭,哥斯达黎加,1,3,A
2014/6/14,英格兰,意大利,1,2,A
2014/6/14,智利,澳大利亚,3,1,H
2014/6/15,瑞士,厄瓜多尔,2,1,H
2014/6/15,法国,洪都拉斯,3,0,H
2014/6/15,阿根廷,波黑,2,1,H
2014/6/15,英格兰,意大利,1,2,A
2014/6/16,伊朗,尼日利亚,0,0,D
2014/6/16,德国,葡萄牙,4,0,H
2014/6/16,加纳,美国,1,2,A
2014/6/17,巴西,墨西哥,0,0,D
2014/6/17,比利时,阿尔及利亚,2,1,H
2014/6/17,俄罗斯,韩国,1,1,D
2014/6/17,美国,加纳,2,1,H
2014/6/18,喀麦隆,克罗地亚,0,4,A
2014/6/18,澳大利亚,荷兰,2,3,A
2014/6/18,西班牙,智利,0,2,A
2014/6/19,哥伦比亚,科特迪瓦,2,1,H
2014/6/19,日本,希腊,0,0,D
2014/6/19,乌拉圭,英格兰,2,1,H
2014/6/20,意大利,哥斯达黎加,0,1,A
2014/6/20,瑞士,法国,2,5,A
2014/6/20,洪都拉斯,厄瓜多尔,1,2,A
2014/6/21,阿根廷,伊朗,1,0,H
2014/6/21,尼日利亚,波黑,1,0,H
2014/6/21,德国,加纳,2,2,D
2014/6/22,美国,葡萄牙,2,2,D
2014/6/22,比利时,俄罗斯,1,0,H
2014/6/22,韩国,阿尔及利亚,2,4,A
2014/6/23,喀麦隆,巴西,1,4,A
2014/6/23,克罗地亚,墨西哥,1,3,A
2014/6/23,澳大利亚,西班牙,0,3,A
2014/6/23,荷兰,智利,2,0,H
2014/6/24,日本,哥伦比亚,1,4,A
2014/6/24,希腊,科特迪瓦,2,1,H
2014/6/24,意大利,乌拉圭,0,1,A
2014/6/24,哥斯达黎加,英格兰,0,0,D
2014/6/25,洪都拉斯,瑞士,0,3,A
2014/6/25,厄瓜多尔,法国,0,0,D
2014/6/25,尼日利亚,阿根廷,2,3,A
2014/6/25,波黑,伊朗,3,1,H
2014/6/26,美国,德国,0,1,A
2014/6/26,葡萄牙,加纳,2,1,H
2014/6/26,韩国,比利时,0,1,A
2014/6/26,阿尔及利亚,俄罗斯,1,1,D
2014/6/28,巴西,智利,1,1,H
2014/6/28,哥伦比亚,乌拉圭,2,0,H
2014/6/29,荷兰,墨西哥,2,1,H
2014/6/29,哥斯达黎加,希腊,1,1,H
2014/6/30,法国,尼日利亚,2,0,H
2014/6/30,德国,阿尔及利亚,2,1,H
2014/7/1,阿根廷,瑞士,1,0,H
2014/7/1,比利时,美国,2,1,H
2014/7/12,巴西,荷兰,0,3,A
2014/7/13,德国,阿根廷,1,0,H
2014/7/4,法国,德国,0,1,A
2014/7/4,巴西,哥伦比亚,2,1,H
2014/7/5,阿根廷,比利时,1,0,H
2014/7/5,荷兰,哥斯达黎加,0,0,H
2014/7/8,巴西,德国,1,7,A
2014/7/9,荷兰,阿根廷,0,0,A
2018/6/14,俄罗斯,沙特,5,0,H
2018/6/15,埃及,乌拉圭,0,1,A
2018/6/15,摩洛哥,伊朗,0,1,A
2018/6/15,葡萄牙,西班牙,3,3,D
2018/6/16,法国,澳大利亚,2,1,H
2018/6/16,秘鲁,丹麦,0,1,A
2018/6/16,阿根廷,冰岛,1,1,D
2018/6/16,克罗地亚,尼日利亚,2,0,H
2018/6/16,丹麦,秘鲁,1,0,H
2018/6/17,哥斯达黎加,塞尔维亚,0,1,A
2018/6/17,巴西,瑞士,1,1,D
2018/6/17,德国,墨西哥,0,1,A
2018/6/17,克罗地亚,尼日利亚,2,0,H
2018/6/18,瑞典,韩国,1,0,H
2018/6/18,比利时,巴拿马,3,0,H
2018/6/18,突尼斯,英格兰,1,2,A
2018/6/18,巴西,瑞士,1,1,D
2018/6/19,俄罗斯,埃及,3,1,H
2018/6/19,哥伦比亚,日本,1,2,A
2018/6/19,波兰,塞内加尔,1,2,A
2018/6/19,突尼斯,英格兰,1,2,A
2018/6/20,乌拉圭,沙特,1,0,H
2018/6/20,葡萄牙,摩洛哥,1,0,H
2018/6/20,伊朗,西班牙,0,1,A
2018/6/21,丹麦,澳大利亚,1,1,D
2018/6/21,法国,秘鲁,1,0,H
2018/6/21,阿根廷,克罗地亚,0,3,A
2018/6/22,尼日利亚,冰岛,2,0,H
